product,actual_rating,predicted_eta,num_reviews,category,abs_error,prediction_width,predicted_eta_mean,predicted_eta_hdi_lower,predicted_eta_hdi_upper,predicted_eta_sd,estimated_star_rating,estimated_star_lower,estimated_star_upper
AVpfzL7R1cnluZ0-rgaY,2.75,-0.082,8,Personal Care,2.832,0.584,1.502,-0.29,3.446,0.986,4.740440324449595,2.66396292004635,5.0
AVpfz_6jilAPnD_xiuxE,3.9473684210526314,1.224,19,Household Chemicals,2.7233684210526317,0.488,2.271,0.784,3.9,0.809,5.0,3.9084588644264198,5.0
AVpg0ow0ilAPnD_xxtlC,5.0,2.49,2,Movies,2.51,0.968,0.973,0.173,1.947,0.469,4.127462340672074,3.200463499420626,5.0
AVpg35OJLJeJML43Tz5U,5.0,1.935,1,Personal Care,3.065,1.032,2.252,0.772,3.812,0.776,5.0,3.8945538818076475,5.0
AVpg4K33LJeJML43T3ar,4.75,2.139,4,Movies,2.611,0.811,1.466,-0.54,3.345,1.008,4.698725376593279,2.374275782155272,5.0
AVpg5aDDLJeJML43UHZH,3.2,0.539,5,Personal Care,2.661,0.72,1.425,-0.377,2.972,0.886,4.651216685979143,2.563151796060255,5.0
AVpg5vm-LJeJML43ULp4,4.666666666666667,1.969,3,Movies,2.6976666666666667,0.861,2.289,0.287,4.225,1.02,5.0,3.332560834298957,5.0
AVpg9KQ5LJeJML43U3ab,5.0,2.791,1,Food & Beverage,2.209,1.138,2.428,0.682,4.048,0.906,5.0,3.79026651216686,5.0
AVpgCAZBilAPnD_xmUw5,4.631578947368421,2.006,19,Personal Care,2.6255789473684215,0.501,1.956,-0.193,3.999,1.033,5.0,2.776361529548088,5.0
AVpgCIn81cnluZ0-vX3k,5.0,1.921,1,Personal Care,3.0789999999999997,1.029,1.903,0.129,3.491,0.866,5.0,3.149478563151796,5.0
AVpgCJU4LJeJML43H1AI,5.0,1.914,1,Personal Care,3.0860000000000003,1.05,0.596,-1.574,2.79,1.125,3.690614136732329,1.176129779837775,5.0
AVpgCKm4LJeJML43H1S5,4.0,1.139,1,Personal Care,2.8609999999999998,0.913,2.535,0.507,4.391,1.046,5.0,3.5874855156431056,5.0
AVpgD4731cnluZ0-v1St,5.0,1.983,1,Personal Care,3.017,0.977,2.138,0.566,3.544,0.775,5.0,3.6558516801853997,5.0
AVpgDIS7LJeJML43IFO3,4.833333333333333,2.395,6,Food,2.438333333333333,0.722,2.67,1.142,4.11,0.788,5.0,4.323290845886443,5.0
AVpgDaVWilAPnD_xmsHc,1.5,-0.664,2,Health,2.164,1.012,1.52,0.185,2.859,0.706,4.761297798377752,3.2143684820393976,5.0
AVpgF0kzLJeJML43Ixdl,5.0,1.626,1,Beauty,3.374,1.02,1.723,-0.325,3.359,0.924,4.996523754345307,2.623406720741599,5.0
AVpgFW3y1cnluZ0-wNXJ,4.810126582278481,2.593,79,Movies & TV Shows,2.217126582278481,0.31,2.959,0.739,4.851,1.051,5.0,3.8563151796060255,5.0
AVpgFsvt1cnluZ0-wSua,4.0,0.744,2,Featured Brands,3.2560000000000002,0.975,2.377,0.808,4.11,0.877,5.0,3.936268829663963,5.0
AVpgHnCQLJeJML43JNzU,4.666666666666667,2.298,6,Food,2.368666666666667,0.852,2.063,0.541,3.49,0.763,5.0,3.626882966396292,5.0
AVpgI4FSLJeJML43JgA5,5.0,2.545,4,Personal Care,2.455,0.88,1.923,0.178,3.904,0.99,5.0,3.2062572421784474,5.0
AVpgItBKilAPnD_xn_sz,5.0,2.43,2,Food,2.57,0.906,0.804,-1.23,2.814,1.112,3.931633835457706,1.574739281575898,5.0
AVpgJTP4ilAPnD_xoILD,5.0,2.245,1,Household Chemicals,2.755,1.0,2.431,0.76,4.337,0.953,5.0,3.880648899188876,5.0
AVpgJjLgLJeJML43Jpmu,4.333333333333333,2.061,6,Personal Care,2.272333333333333,0.799,3.053,1.412,4.697,0.858,5.0,4.636152954808806,5.0
AVpgK9i31cnluZ0-xh9i,2.0,0.526,1,School & Office Supplies,1.474,1.099,2.321,0.158,4.476,1.119,5.0,3.183082271147161,5.0
AVpgKuphilAPnD_xodXm,5.0,2.633,4,Kitchen & Dining,2.367,0.84,2.395,0.97,3.773,0.722,5.0,4.123986095017381,5.0
AVpgKzIR1cnluZ0-xfdN,3.5,1.215,2,Home,2.285,0.941,2.034,0.016,4.349,1.093,5.0,3.018539976825029,5.0
AVpgLyGmilAPnD_xos31,4.0,1.466,1,Movies,2.534,0.972,2.518,0.597,4.491,0.984,5.0,3.6917728852838936,5.0
